pillar,period,pain_point,count
skincare,2021-03-08,Price,0
skincare,2021-03-08,Packaging,0
skincare,2021-03-08,Quality,3
skincare,2021-03-08,Availability,0
skincare,2021-03-08,Sustainability,0
skincare,2021-03-08,Compatibility,7
skincare,2021-03-15,Price,1
skincare,2021-03-15,Packaging,0
skincare,2021-03-15,Quality,3
skincare,2021-03-15,Availability,0
skincare,2021-03-15,Sustainability,1
skincare,2021-03-15,Compatibility,6
skincare,2021-03-22,Price,0
skincare,2021-03-22,Packaging,0
skincare,2021-03-22,Quality,3
skincare,2021-03-22,Availability,0
skincare,2021-03-22,Sustainability,1
skincare,2021-03-22,Compatibility,5
skincare,2021-03-29,Price,0
skincare,2021-03-29,Packaging,1
skincare,2021-03-29,Quality,1
skincare,2021-03-29,Availability,0
skincare,2021-03-29,Sustainability,0
skincare,2021-03-29,Compatibility,7
skincare,2021-04-05,Price,1
skincare,2021-04-05,Packaging,0
skincare,2021-04-05,Quality,2
skincare,2021-04-05,Availability,0
skincare,2021-04-05,Sustainability,0
skincare,2021-04-05,Compatibility,7
skincare,2021-04-12,Price,0
skincare,2021-04-12,Packaging,1
skincare,2021-04-12,Quality,0
skincare,2021-04-12,Availability,0
skincare,2021-04-12,Sustainability,0
skincare,2021-04-12,Compatibility,9
skincare,2021-04-19,Price,0
skincare,2021-04-19,Packaging,0
skincare,2021-04-19,Quality,1
skincare,2021-04-19,Availability,0
skincare,2021-04-19,Sustainability,0
skincare,2021-04-19,Compatibility,6
skincare,2021-04-26,Price,0
skincare,2021-04-26,Packaging,3
skincare,2021-04-26,Quality,7
skincare,2021-04-26,Availability,0
skincare,2021-04-26,Sustainability,0
skincare,2021-04-26,Compatibility,17
skincare,2021-05-03,Price,1
skincare,2021-05-03,Packaging,0
skincare,2021-05-03,Quality,3
skincare,2021-05-03,Availability,0
skincare,2021-05-03,Sustainability,0
skincare,2021-05-03,Compatibility,16
skincare,2021-05-10,Price,1
skincare,2021-05-10,Packaging,1
skincare,2021-05-10,Quality,8
skincare,2021-05-10,Availability,0
skincare,2021-05-10,Sustainability,0
skincare,2021-05-10,Compatibility,9
skincare,2021-05-17,Price,0
skincare,2021-05-17,Packaging,0
skincare,2021-05-17,Quality,4
skincare,2021-05-17,Availability,0
skincare,2021-05-17,Sustainability,0
skincare,2021-05-17,Compatibility,11
skincare,2021-05-24,Price,0
skincare,2021-05-24,Packaging,1
skincare,2021-05-24,Quality,6
skincare,2021-05-24,Availability,0
skincare,2021-05-24,Sustainability,0
skincare,2021-05-24,Compatibility,19
skincare,2021-05-31,Price,0
skincare,2021-05-31,Packaging,1
skincare,2021-05-31,Quality,7
skincare,2021-05-31,Availability,1
skincare,2021-05-31,Sustainability,0
skincare,2021-05-31,Compatibility,8
skincare,2021-06-07,Price,0
skincare,2021-06-07,Packaging,0
skincare,2021-06-07,Quality,7
skincare,2021-06-07,Availability,0
skincare,2021-06-07,Sustainability,0
skincare,2021-06-07,Compatibility,19
skincare,2021-06-14,Price,0
skincare,2021-06-14,Packaging,0
skincare,2021-06-14,Quality,2
skincare,2021-06-14,Availability,0
skincare,2021-06-14,Sustainability,0
skincare,2021-06-14,Compatibility,13
skincare,2021-06-21,Price,1
skincare,2021-06-21,Packaging,0
skincare,2021-06-21,Quality,1
skincare,2021-06-21,Availability,0
skincare,2021-06-21,Sustainability,0
skincare,2021-06-21,Compatibility,10
skincare,2021-06-28,Price,1
skincare,2021-06-28,Packaging,1
skincare,2021-06-28,Quality,4
skincare,2021-06-28,Availability,0
skincare,2021-06-28,Sustainability,0
skincare,2021-06-28,Compatibility,5
skincare,2021-07-05,Price,1
skincare,2021-07-05,Packaging,0
skincare,2021-07-05,Quality,3
skincare,2021-07-05,Availability,1
skincare,2021-07-05,Sustainability,1
skincare,2021-07-05,Compatibility,5
skincare,2021-07-12,Price,0
skincare,2021-07-12,Packaging,0
skincare,2021-07-12,Quality,2
skincare,2021-07-12,Availability,0
skincare,2021-07-12,Sustainability,1
skincare,2021-07-12,Compatibility,8
skincare,2021-07-19,Price,0
skincare,2021-07-19,Packaging,0
skincare,2021-07-19,Quality,4
skincare,2021-07-19,Availability,0
skincare,2021-07-19,Sustainability,1
skincare,2021-07-19,Compatibility,13
skincare,2021-07-26,Price,0
skincare,2021-07-26,Packaging,1
skincare,2021-07-26,Quality,4
skincare,2021-07-26,Availability,0
skincare,2021-07-26,Sustainability,1
