pillar,term,period,share,count,trend_score
skincare,youtubers,2020-04-01,0.0,0,0.0
skincare,youtubers,2020-05-01,0.0,0,0.0
skincare,youtubers,2020-06-01,0.0,0,0.0
skincare,youtubers,2020-07-01,0.0,0,0.0
skincare,youtubers,2020-08-01,0.0,0,0.0
skincare,youtubers,2020-09-01,0.0,0,0.0
skincare,youtubers,2020-10-01,0.0045045045045045045,1,4504504.504504505
skincare,youtubers,2020-11-01,0.0,0,-0.5773500471897112
skincare,youtubers,2020-12-01,0.0,0,-0.5773500471897112
skincare,youtubers,2021-01-01,0.0,0,-0.5773500471897112
skincare,youtubers,2021-02-01,0.0,0,0.0
skincare,youtubers,2021-03-01,0.0,0,0.0
skincare,youtubers,2021-04-01,0.0,0,0.0
skincare,youtubers,2021-05-01,0.0,0,0.0
skincare,youtubers,2021-06-01,0.0,0,0.0
skincare,youtubers,2021-07-01,0.0,0,0.0
skincare,youtubers,2021-08-01,0.0,0,0.0
skincare,youtubers,2021-09-01,0.0,0,0.0
skincare,youtubers,2021-10-01,0.0,0,0.0
skincare,youtubers,2021-11-01,0.0,0,0.0
skincare,youtubers,2021-12-01,0.0,0,0.0
skincare,youtubers,2022-01-01,0.0,0,0.0
skincare,youtubers,2022-02-01,0.0,0,0.0
skincare,youtubers,2022-03-01,0.0,0,0.0
skincare,youtubers,2022-04-01,0.0,0,0.0
skincare,youtubers,2022-05-01,0.0,0,0.0
skincare,youtubers,2022-06-01,0.0,0,0.0
skincare,youtubers,2022-07-01,0.0,0,0.0
skincare,youtubers,2022-08-01,0.0,0,0.0
skincare,youtubers,2022-09-01,0.0,0,0.0
skincare,youtubers,2022-10-01,0.0,0,0.0
skincare,youtubers,2022-11-01,0.0,0,0.0
skincare,youtubers,2022-12-01,0.0,0,0.0
skincare,youtubers,2023-01-01,0.0,0,0.0
skincare,youtubers,2023-02-01,0.0,0,0.0
skincare,youtubers,2023-03-01,0.0,0,0.0
skincare,youtubers,2023-04-01,0.0,0,0.0
skincare,youtubers,2023-05-01,0.0011235955056179776,1,1123595.5056179776
skincare,youtubers,2023-06-01,0.0,0,-0.5773493791909976
skincare,youtubers,2023-07-01,0.0008006405124099279,1,0.6568562592717433
skincare,youtubers,2023-08-01,0.0,0,-1.1087984178937076
skincare,youtubers,2023-09-01,0.0,0,-0.5773490201923277
skincare,youtubers,2023-10-01,0.0015408320493066256,1,2.7559742134912653
skincare,youtubers,2023-11-01,0.0011976047904191617,1,0.7688775780259581
skincare,youtubers,2023-12-01,0.0,0,-1.1284152261300429
skincare,youtubers,2024-01-01,0.0,0,-1.1284152261300429
skincare,youtubers,2024-02-01,0.0,0,-0.5773494341908332
skincare,youtubers,2024-03-01,0.0,0,0.0
skincare,youtubers,2024-04-01,0.0,0,0.0
